1#风箱负压,CO浓度_mg_m3
-11.306,3372.396
-11.192,3346.354
-11.294,3323.568
-11.438,3350.333
-11.494,3354.311
-11.503,3346.354
-11.436,3323.568
-11.328,3308.015
-11.357,3261.719
-11.499,3261.719
-11.525,3228.082
-11.559,3281.25
-11.514,3300.419
-11.446,3288.846
-11.466,3387.949
-11.565,3468.605
-11.656,3475.477
-11.587,3464.989
-11.443,3445.819
-11.397,3425.564
-11.41,3395.544
-11.428,3331.163
-11.674,3411.097
-11.833,3419.054
-11.989,3416.522
-12.086,3464.989
-12.023,3475.477
-12.033,3536.242
-12.008,3601.346
-11.929,3619.792
-11.755,3678.024
-11.634,3611.834
-11.655,3619.792
-11.665,3634.26
-11.725,3607.856
-11.857,3654.876
-11.99,3619.792
-12.05,3628.111
-12.077,3589.048
-11.998,3635.706
-11.78,3748.553
-11.587,3768.084
-11.319,3863.209
-11.235,3902.272
-11.325,4023.799
-11.455,4008.608
-11.708,3977.141
-11.792,4066.479
-11.589,4058.883
-11.477,4047.309
-11.313,3981.481
-11.342,3981.481
-11.338,3989.077
-11.447,4004.268
-11.513,4035.373
-11.524,3969.908
-11.468,4118.923
-11.464,4187.645
-11.517,4207.176
-11.887,4195.602
-11.883,4321.47
-11.764,4328.704
-11.602,4222.005
-11.476,4099.392
-11.513,4092.159
-11.643,3973.886
-11.542,3989.077
-11.514,3973.886
-11.343,3956.163
-11.276,3890.697
-11.23,3932.653
-11.226,3894.676
-11.428,3878.762
-11.472,3868.273
-11.5,3867.549
-11.486,3855.975
-11.433,3909.867
-11.585,3906.25
-11.645,3837.891
-11.49,3855.975
-11.734,3817.998
-11.712,3818.721
-11.804,3776.403
-11.965,3749.638
-12.016,3737.703
-11.806,3776.403
-11.771,3666.088
-11.727,3635.706
-11.729,3517.433
-11.647,3552.156
-11.539,3498.264
-11.499,3517.433
-11.457,3505.859
-11.387,3517.433
-11.455,3468.244
-11.457,3418.692
-11.532,3449.436
-11.57,3403.139
-11.428,3449.436
-11.412,3422.309
-11.382,3407.118
-11.397,3457.755
-11.417,3517.433
-11.593,3643.302
-11.831,3627.387
-11.863,3578.921
-11.82,3574.942
-11.723,3516.71
-11.677,3563.73
-11.618,3513.093
-11.455,3399.523
-11.356,3418.692
-11.358,3357.567
-11.324,3304.037
-11.357,3304.037
-11.393,3327.546
-11.476,3272.931
-11.674,3178.169
-11.736,3177.807
-11.636,3189.019
-11.544,3280.527
-11.479,3339.482
-11.41,3475.839
-11.373,3498.264
-11.324,3594.112
-11.406,3639.323
-11.418,3631.004
-11.414,3616.175
-11.369,3543.475
-11.326,3544.56
-11.324,3406.033
-11.368,3383.608
-11.483,3368.417
-11.382,3414.713
-11.377,3357.567
-11.539,3387.949
-11.595,3507.306
-11.537,3601.346
-11.532,3634.983
-11.576,3634.983
-11.518,3666.088
-11.421,3578.921
-11.367,3616.175
-11.39,3631.727
-11.343,3556.135
-11.228,3571.325
-11.066,3567.347
-11.077,3517.433
-11.066,3472.584
-11.194,3483.435
-11.405,3451.606
-11.335,3468.605
-11.325,3604.963
-11.321,3666.088
-11.265,3719.618
-11.388,3757.234
-11.334,3852.358
-11.435,3942.419
-11.543,3981.481
-11.559,3997.396
-11.671,4008.608
-11.629,3952.546
-11.576,3859.954
-11.521,3886.719
-11.617,3858.507
-11.768,3822.7
-11.819,3794.85
-11.774,3768.808
-11.623,3745.298
-11.458,3772.063
-11.393,3708.767
-11.343,3677.662
-11.354,3685.257
-11.332,3689.598
-11.243,3646.919
-11.208,3631.366
-11.152,3563.73
-11.142,3552.156
-11.179,3604.963
-11.252,3634.983
-11.376,3708.767
-11.424,3749.277
-11.435,3741.681
-11.506,3719.618
-11.436,3768.808
-11.343,3848.38
-11.308,3913.846
-11.264,3925.058
-11.286,4051.287
-11.22,4066.479
-11.306,3993.055
-11.174,3996.672
-11.19,3929.037
-11.145,3875.145
-11.101,3795.573
-11.103,3708.767
-10.634,3548.177
-10.449,3665.726
-11.217,4153.646
-11.431,3742.405
-11.439,3547.815
-11.42,3540.22
-11.395,3590.133
-11.476,3627.387
-11.553,3594.112
-11.539,3441.84
-11.57,3419.416
-11.603,3383.608
-11.617,3300.419
-11.688,3209.274
-11.762,3131.872
